participant_id,session_id,client_utc,attempt,trial_index,phase,phase_trial_index,island_id,island_name,stimulus_type,stimulus_name,stimulus_duration_ms,stimulus_onset_ms,stimulus_offset_ms,stimulus_actual_duration_ms,response_made,reaction_time_ms,reaction_time_ms_non_target,correct,outcome,attentiveness,timeliness,hyperreactiveness,impulsiveness,hyperreactive_count,inter_stimulus_interval_ms,isi_base_index,isi_study_seed,trial_plan_seed,isi_permutation_seed
P_20260915_170805,S_20260915_170800,2026-09-15T15:08:39.2509542Z,1,0,NDP,0,MAGICACADEMY,Magic Academy,non_target,NonTarget1,200,38539,38751,212,False,,,True,correct_reject,False,False,False,False,0,1497,9,1297045583,1407863531,1894174482
P_20260915_170805,S_20260915_170800,2026-09-15T15:08:40.3247517Z,1,1,NDP,1,MAGICACADEMY,Magic Academy,target,Target,200,40257,40478,221,True,593.5289,,True,hit,True,False,False,False,0,847,12,1297045583,1407863531,1894174482
P_20260915_170805,S_20260915_170800,2026-09-15T15:08:42.3028258Z,1,2,NDP,2,MAGICACADEMY,Magic Academy,non_target,NonTarget1,200,41348,41548,200,False,,,True,correct_reject,False,False,False,False,0,1743,0,1297045583,1407863531,1894174482
P_20260915_170805,S_20260915_170800,2026-09-15T15:08:44.2078255Z,1,3,NDP,3,MAGICACADEMY,Magic Academy,target,Target,200,43305,43528,223,True,595.261,,True,hit,True,False,False,False,0,1697,3,1297045583,1407863531,1894174482
P_20260915_170805,S_20260915_170800,2026-09-15T15:08:45.6591515Z,1,4,NDP,4,MAGICACADEMY,Magic Academy,non_target,NonTarget4,200,45236,45445,209,False,,,True,correct_reject,False,False,False,False,0,1187,2,1297045583,1407863531,1894174482
P_20260915_170805,S_20260915_170800,2026-09-15T15:08:47.1581606Z,1,5,NDP,5,MAGICACADEMY,Magic Academy,target,Target,200,46645,46859,214,True,475.8284,,True,hit,True,False,False,False,0,1295,13,1297045583,1407863531,1894174482
P_20260915_170805,S_20260915_170800,2026-09-15T15:08:48.8279771Z,1,6,NDP,6,MAGICACADEMY,Magic Academy,target,Target,200,48159,48364,205,True,643.5664,,True,hit,True,False,False,False,0,1442,14,1297045583,1407863531,1894174482
P_20260915_170805,S_20260915_170800,2026-09-15T15:08:50.5909816Z,1,7,NDP,7,MAGICACADEMY,Magic Academy,target,Target,200,49814,50014,200,True,469.0356,,True,hit,True,False,False,False,0,1556,4,1297045583,1407863531,1894174482
P_20260915_170805,S_20260915_170800,2026-09-15T15:08:52.0404624Z,1,8,NDP,8,MAGICACADEMY,Magic Academy,non_target,NonTarget2,200,51579,51812,233,False,,,True,correct_reject,False,False,False,False,0,1247,6,1297045583,1407863531,1894174482
P_20260915_170805,S_20260915_170800,2026-09-15T15:08:53.8098950Z,1,9,NDP,9,MAGICACADEMY,Magic Academy,non_target,NonTarget5,200,53072,53291,219,False,,,True,correct_reject,False,False,False,False,0,1532,1,1297045583,1407863531,1894174482
