participant_id,session_id,client_utc,attempt,island_id,phase,event_type,trial_index,phase_trial_index,distractor_id,distractor_name,weight_target,onset_ms,offset_ms,planned_duration_ms,actual_duration_ms,dp_elapsed_onset_ms,dp_elapsed_offset_ms,active_count_at_onset,active_set_at_onset,distractor_base_seed,distractor_combined_seed,distractor_mode,dp_budget_seconds,min_on_seconds,max_on_seconds,on_step_seconds,single_presentations_per_distractor,no_adjacent_episode_overlap
P_20260922_114934,S_20260922_114929,2026-09-22T09:50:35.7839162Z,1,MAGICACADEMY,DP,ON,15,0,D5,Kitty,0.1666667,67206,,700,,126,,1,D5,1796813639,879794494,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_114934,S_20260922_114929,2026-09-22T09:50:36.5159869Z,1,MAGICACADEMY,DP,OFF,15,0,D5,Kitty,0.1666667,67206,67906,700,700,126,826,1,D5,1796813639,879794494,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_114934,S_20260922_114929,2026-09-22T09:50:37.5686373Z,1,MAGICACADEMY,DP,ON,16,1,D2,BarnOwl,0.1666667,68994,,700,,1914,,1,D2,1796813639,879794494,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_114934,S_20260922_114929,2026-09-22T09:50:38.2862770Z,1,MAGICACADEMY,DP,OFF,16,1,D2,BarnOwl,0.1666667,68994,69694,700,700,1914,2614,1,D2,1796813639,879794494,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_114934,S_20260922_114929,2026-09-22T09:50:39.1581633Z,1,MAGICACADEMY,DP,ON,17,2,D3,SheepCloud,0.1666667,70584,,700,,3504,,1,D3,1796813639,879794494,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_114934,S_20260922_114929,2026-09-22T09:50:39.8733338Z,1,MAGICACADEMY,DP,OFF,17,2,D3,SheepCloud,0.1666667,70584,71284,700,700,3504,4204,1,D3,1796813639,879794494,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_114934,S_20260922_114929,2026-09-22T09:50:40.9160441Z,1,MAGICACADEMY,DP,ON,18,3,D6,LilBird,0.1666667,72342,,700,,5262,,1,D6,1796813639,879794494,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_114934,S_20260922_114929,2026-09-22T09:50:41.6325807Z,1,MAGICACADEMY,DP,OFF,18,3,D6,LilBird,0.1666667,72342,73042,700,700,5262,5962,1,D6,1796813639,879794494,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_114934,S_20260922_114929,2026-09-22T09:50:42.8635251Z,1,MAGICACADEMY,DP,ON,19,4,D1,FlyGame,0.1666667,74290,,700,,7210,,1,D1,1796813639,879794494,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_114934,S_20260922_114929,2026-09-22T09:50:43.5768879Z,1,MAGICACADEMY,DP,OFF,19,4,D1,FlyGame,0.1666667,74290,74990,700,700,7210,7910,1,D1,1796813639,879794494,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
