participant_id,session_id,client_utc,attempt,island_id,phase,event_type,trial_index,phase_trial_index,distractor_id,distractor_name,weight_target,onset_ms,offset_ms,planned_duration_ms,actual_duration_ms,dp_elapsed_onset_ms,dp_elapsed_offset_ms,active_count_at_onset,active_set_at_onset,distractor_base_seed,distractor_combined_seed,distractor_mode,dp_budget_seconds,min_on_seconds,max_on_seconds,on_step_seconds,single_presentations_per_distractor,no_adjacent_episode_overlap
P_20260915_213236,S_20260915_213228,2026-09-15T19:33:43.0323382Z,1,MAGICACADEMY,DP,ON,15,0,D1,Parrot,0.1666667,96700,,700,,120,,1,D1,1059879021,1355230436,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213236,S_20260915_213228,2026-09-15T19:33:43.8151232Z,1,MAGICACADEMY,DP,OFF,15,0,D1,Parrot,0.1666667,96700,97400,700,700,120,820,1,D1,1059879021,1355230436,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213236,S_20260915_213228,2026-09-15T19:33:44.6831705Z,1,MAGICACADEMY,DP,ON,16,1,D6,Cage,0.1666667,98357,,700,,1777,,1,D6,1059879021,1355230436,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213236,S_20260915_213228,2026-09-15T19:33:45.6127571Z,1,MAGICACADEMY,DP,OFF,16,1,D6,Cage,0.1666667,98357,99057,700,700,1777,2477,1,D6,1059879021,1355230436,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213236,S_20260915_213228,2026-09-15T19:33:46.5948957Z,1,MAGICACADEMY,DP,ON,17,2,D2,Turtle,0.1666667,100268,,700,,3688,,1,D2,1059879021,1355230436,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213236,S_20260915_213228,2026-09-15T19:33:47.4196303Z,1,MAGICACADEMY,DP,OFF,17,2,D2,Turtle,0.1666667,100268,100968,700,700,3688,4388,1,D2,1059879021,1355230436,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213236,S_20260915_213228,2026-09-15T19:33:47.8234040Z,1,MAGICACADEMY,DP,ON,18,3,D5,BabyHead,0.1666667,101497,,700,,4917,,1,D5,1059879021,1355230436,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213236,S_20260915_213228,2026-09-15T19:33:48.5631131Z,1,MAGICACADEMY,DP,OFF,18,3,D5,BabyHead,0.1666667,101497,102197,700,700,4917,5617,1,D5,1059879021,1355230436,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213236,S_20260915_213228,2026-09-15T19:33:49.8092239Z,1,MAGICACADEMY,DP,ON,19,4,D4,Pirate,0.1666667,103482,,700,,6902,,1,D4,1059879021,1355230436,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213236,S_20260915_213228,2026-09-15T19:33:50.5490649Z,1,MAGICACADEMY,DP,OFF,19,4,D4,Pirate,0.1666667,103482,104182,700,700,6902,7602,1,D4,1059879021,1355230436,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213236,S_20260915_213228,2026-09-15T19:33:51.2384415Z,1,MAGICACADEMY,DP,ON,20,5,D3,Squid,0.1666667,104912,,700,,8332,,1,D3,1059879021,1355230436,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213236,S_20260915_213228,2026-09-15T19:33:52.0011903Z,1,MAGICACADEMY,DP,OFF,20,5,D3,Squid,0.1666667,104912,105612,700,700,8332,9032,1,D3,1059879021,1355230436,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213236,S_20260915_213228,2026-09-15T19:33:53.1836506Z,1,MAGICACADEMY,DP,ON,21,6,D4,Pirate,0.1666667,106856,,700,,10276,,1,D4,1059879021,1355230436,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213236,S_20260915_213228,2026-09-15T19:33:53.8995852Z,1,MAGICACADEMY,DP,OFF,21,6,D4,Pirate,0.1666667,106856,107556,700,700,10276,10976,1,D4,1059879021,1355230436,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213236,S_20260915_213228,2026-09-15T19:33:54.8736033Z,1,MAGICACADEMY,DP,ON,22,7,D1,Parrot,0.1666667,108545,,700,,11965,,1,D1,1059879021,1355230436,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213236,S_20260915_213228,2026-09-15T19:33:55.5890583Z,1,MAGICACADEMY,DP,OFF,22,7,D1,Parrot,0.1666667,108545,109245,700,700,11965,12665,1,D1,1059879021,1355230436,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213236,S_20260915_213228,2026-09-15T19:33:55.9348144Z,1,MAGICACADEMY,DP,ON,23,8,D6,Cage,0.1666667,109608,,700,,13028,,1,D6,1059879021,1355230436,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213236,S_20260915_213228,2026-09-15T19:33:56.6494920Z,1,MAGICACADEMY,DP,OFF,23,8,D6,Cage,0.1666667,109608,110308,700,700,13028,13728,1,D6,1059879021,1355230436,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213236,S_20260915_213228,2026-09-15T19:33:57.1414712Z,1,MAGICACADEMY,DP,ON,24,9,D2,Turtle,0.1666667,110812,,700,,14232,,1,D2,1059879021,1355230436,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213236,S_20260915_213228,2026-09-15T19:33:57.8494114Z,1,MAGICACADEMY,DP,OFF,24,9,D2,Turtle,0.1666667,110812,111512,700,700,14232,14932,1,D2,1059879021,1355230436,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213236,S_20260915_213228,2026-09-15T19:33:58.5826734Z,1,MAGICACADEMY,DP,ON,25,10,D3,Squid,0.1666667,112256,,700,,15676,,1,D3,1059879021,1355230436,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
