participant_id,session_id,client_utc,attempt,island_id,phase,event_type,trial_index,phase_trial_index,distractor_id,distractor_name,weight_target,onset_ms,offset_ms,planned_duration_ms,actual_duration_ms,dp_elapsed_onset_ms,dp_elapsed_offset_ms,active_count_at_onset,active_set_at_onset,distractor_base_seed,distractor_combined_seed,distractor_mode,dp_budget_seconds,min_on_seconds,max_on_seconds,on_step_seconds,single_presentations_per_distractor,no_adjacent_episode_overlap
P_20260915_213931,S_20260915_213925,2026-09-15T19:40:22.2583990Z,1,MAGICACADEMY,DP,ON,15,0,D5,BabyHead,0.1666667,60186,,700,,125,,1,D5,24064815,-1924776154,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213931,S_20260915_213925,2026-09-15T19:40:22.9948842Z,1,MAGICACADEMY,DP,OFF,15,0,D5,BabyHead,0.1666667,60186,60886,700,700,125,825,1,D5,24064815,-1924776154,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213931,S_20260915_213925,2026-09-15T19:40:24.1704802Z,1,MAGICACADEMY,DP,ON,16,1,D2,Turtle,0.1666667,62099,,700,,2038,,1,D2,24064815,-1924776154,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213931,S_20260915_213925,2026-09-15T19:40:24.9763583Z,1,MAGICACADEMY,DP,OFF,16,1,D2,Turtle,0.1666667,62099,62799,700,700,2038,2738,1,D2,24064815,-1924776154,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213931,S_20260915_213925,2026-09-15T19:40:25.9284835Z,1,MAGICACADEMY,DP,ON,17,2,D6,Cage,0.1666667,63858,,700,,3797,,1,D6,24064815,-1924776154,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213931,S_20260915_213925,2026-09-15T19:40:26.9133997Z,1,MAGICACADEMY,DP,OFF,17,2,D6,Cage,0.1666667,63858,64558,700,700,3797,4497,1,D6,24064815,-1924776154,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213931,S_20260915_213925,2026-09-15T19:40:27.3334047Z,1,MAGICACADEMY,DP,ON,18,3,D1,Parrot,0.1666667,65258,,700,,5197,,1,D1,24064815,-1924776154,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213931,S_20260915_213925,2026-09-15T19:40:28.1467409Z,1,MAGICACADEMY,DP,OFF,18,3,D1,Parrot,0.1666667,65258,65958,700,700,5197,5897,1,D1,24064815,-1924776154,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213931,S_20260915_213925,2026-09-15T19:40:29.1785942Z,1,MAGICACADEMY,DP,ON,19,4,D3,Squid,0.1666667,67109,,700,,7048,,1,D3,24064815,-1924776154,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213931,S_20260915_213925,2026-09-15T19:40:30.0462789Z,1,MAGICACADEMY,DP,OFF,19,4,D3,Squid,0.1666667,67109,67809,700,700,7048,7748,1,D3,24064815,-1924776154,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213931,S_20260915_213925,2026-09-15T19:40:31.0120188Z,1,MAGICACADEMY,DP,ON,20,5,D4,Pirate,0.1666667,68941,,700,,8880,,1,D4,24064815,-1924776154,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213931,S_20260915_213925,2026-09-15T19:40:31.8039323Z,1,MAGICACADEMY,DP,OFF,20,5,D4,Pirate,0.1666667,68941,69641,700,700,8880,9580,1,D4,24064815,-1924776154,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213931,S_20260915_213925,2026-09-15T19:40:32.1331487Z,1,MAGICACADEMY,DP,ON,21,6,D1,Parrot,0.1666667,70059,,700,,9998,,1,D1,24064815,-1924776154,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213931,S_20260915_213925,2026-09-15T19:40:32.8523050Z,1,MAGICACADEMY,DP,OFF,21,6,D1,Parrot,0.1666667,70059,70759,700,700,9998,10698,1,D1,24064815,-1924776154,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213931,S_20260915_213925,2026-09-15T19:40:33.7402917Z,1,MAGICACADEMY,DP,ON,22,7,D6,Cage,0.1666667,71669,,700,,11608,,1,D6,24064815,-1924776154,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213931,S_20260915_213925,2026-09-15T19:40:34.5454853Z,1,MAGICACADEMY,DP,OFF,22,7,D6,Cage,0.1666667,71669,72369,700,700,11608,12308,1,D6,24064815,-1924776154,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260915_213931,S_20260915_213925,2026-09-15T19:40:35.1114868Z,1,MAGICACADEMY,DP,ON,23,8,D2,Turtle,0.1666667,73041,,700,,12980,,1,D2,24064815,-1924776154,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
