participant_id,session_id,island_id,phase,npc,required_state_key,on_enter_event_name,conversation_id,options_shown_ms,choice_time_ms,reaction_time_ms,selected_option_index,selected_option_text,options_presented_text,selection_changed_count,options_count,was_input_leak_suspected,conversation_step
2026-04-22,,DRAGON,Narrative,DragonLord,Talk2,,C_20260422_110423281,40209,44785,4576,1,Great. The part where I nod confidently and hope no one asks me to explain it. ,That sounds… like a bad math problem.|Great. The part where I nod confidently and hope no one asks me to explain it. |Perfect. Right between now and later - my favorite place to get confused.,0,3,False,2
2026-04-22,,DRAGON,Narrative,DragonLord,Decision,,C_20260422_110423281,82137,90600,8463,0,STEP THROUGH NOW,STEP THROUGH NOW|WAIT FOR THE WIZARD,1,2,False,5
2026-04-22,,DRAGON,Narrative,DragonLord,Talk2,,C_20260422_110654529,38188,38931,743,1,Great. The part where I nod confidently and hope no one asks me to explain it. ,That sounds… like a bad math problem.|Great. The part where I nod confidently and hope no one asks me to explain it. |Perfect. Right between now and later - my favorite place to get confused.,0,3,False,2
2026-04-22,,DRAGON,Narrative,DragonLord,Decision,,C_20260422_110654529,76270,77059,789,1,WAIT FOR THE WIZARD,STEP THROUGH NOW|WAIT FOR THE WIZARD,0,2,False,5
