participant_id,session_id,client_utc,attempt,island_id,phase,event_type,trial_index,phase_trial_index,distractor_id,distractor_name,weight_target,onset_ms,offset_ms,planned_duration_ms,actual_duration_ms,dp_elapsed_onset_ms,dp_elapsed_offset_ms,active_count_at_onset,active_set_at_onset,distractor_base_seed,distractor_combined_seed,distractor_mode,dp_budget_seconds,min_on_seconds,max_on_seconds,on_step_seconds,single_presentations_per_distractor,no_adjacent_episode_overlap
P_20260922_111546,S_20260922_111540,2026-09-22T09:16:36.8390888Z,1,MAGICACADEMY,DP,ON,15,0,D4,Tealv2,0.1666667,59505,,700,,136,,1,D4,1174002668,-641094493,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_111546,S_20260922_111540,2026-09-22T09:16:37.5817516Z,1,MAGICACADEMY,DP,OFF,15,0,D4,Tealv2,0.1666667,59505,60205,700,700,136,836,1,D4,1174002668,-641094493,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_111546,S_20260922_111540,2026-09-22T09:16:37.9982377Z,1,MAGICACADEMY,DP,ON,16,1,D5,Kitty,0.1666667,60672,,700,,1303,,1,D5,1174002668,-641094493,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_111546,S_20260922_111540,2026-09-22T09:16:38.7278997Z,1,MAGICACADEMY,DP,OFF,16,1,D5,Kitty,0.1666667,60672,61372,700,700,1303,2003,1,D5,1174002668,-641094493,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_111546,S_20260922_111540,2026-09-22T09:16:39.7243560Z,1,MAGICACADEMY,DP,ON,17,2,D3,SheepCloud,0.1666667,62398,,700,,3029,,1,D3,1174002668,-641094493,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_111546,S_20260922_111540,2026-09-22T09:16:40.4481489Z,1,MAGICACADEMY,DP,OFF,17,2,D3,SheepCloud,0.1666667,62398,63098,700,700,3029,3729,1,D3,1174002668,-641094493,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_111546,S_20260922_111540,2026-09-22T09:16:41.3852703Z,1,MAGICACADEMY,DP,ON,18,3,D6,LilBird,0.1666667,64060,,700,,4691,,1,D6,1174002668,-641094493,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_111546,S_20260922_111540,2026-09-22T09:16:42.1014601Z,1,MAGICACADEMY,DP,OFF,18,3,D6,LilBird,0.1666667,64060,64760,700,700,4691,5391,1,D6,1174002668,-641094493,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_111546,S_20260922_111540,2026-09-22T09:16:43.1342619Z,1,MAGICACADEMY,DP,ON,19,4,D1,FlyGame,0.1666667,65808,,700,,6439,,1,D1,1174002668,-641094493,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_111546,S_20260922_111540,2026-09-22T09:16:43.8628863Z,1,MAGICACADEMY,DP,OFF,19,4,D1,FlyGame,0.1666667,65808,66508,700,700,6439,7139,1,D1,1174002668,-641094493,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_111546,S_20260922_111540,2026-09-22T09:16:44.3437471Z,1,MAGICACADEMY,DP,ON,20,5,D2,BarnOwl,0.1666667,67016,,700,,7647,,1,D2,1174002668,-641094493,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_111546,S_20260922_111540,2026-09-22T09:16:45.0614298Z,1,MAGICACADEMY,DP,OFF,20,5,D2,BarnOwl,0.1666667,67016,67716,700,700,7647,8347,1,D2,1174002668,-641094493,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_111546,S_20260922_111540,2026-09-22T09:16:46.1100770Z,1,MAGICACADEMY,DP,ON,21,6,D3,SheepCloud,0.1666667,68783,,700,,9414,,1,D3,1174002668,-641094493,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_111546,S_20260922_111540,2026-09-22T09:16:46.8263447Z,1,MAGICACADEMY,DP,OFF,21,6,D3,SheepCloud,0.1666667,68783,69483,700,700,9414,10114,1,D3,1174002668,-641094493,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_111546,S_20260922_111540,2026-09-22T09:16:48.0580974Z,1,MAGICACADEMY,DP,ON,22,7,D2,BarnOwl,0.1666667,70730,,700,,11361,,1,D2,1174002668,-641094493,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_111546,S_20260922_111540,2026-09-22T09:16:48.7701222Z,1,MAGICACADEMY,DP,OFF,22,7,D2,BarnOwl,0.1666667,70730,71430,700,700,11361,12061,1,D2,1174002668,-641094493,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_111546,S_20260922_111540,2026-09-22T09:16:49.5302460Z,1,MAGICACADEMY,DP,ON,23,8,D4,Tealv2,0.1666667,72203,,700,,12834,,1,D4,1174002668,-641094493,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260922_111546,S_20260922_111540,2026-09-22T09:16:50.2429400Z,1,MAGICACADEMY,DP,OFF,23,8,D4,Tealv2,0.1666667,72203,72903,700,700,12834,13534,1,D4,1174002668,-641094493,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
