participant_id,session_id,client_utc,attempt,island_id,phase,event_type,trial_index,phase_trial_index,distractor_id,distractor_name,weight_target,onset_ms,offset_ms,planned_duration_ms,actual_duration_ms,dp_elapsed_onset_ms,dp_elapsed_offset_ms,active_count_at_onset,active_set_at_onset,distractor_base_seed,distractor_combined_seed,distractor_mode,dp_budget_seconds,min_on_seconds,max_on_seconds,on_step_seconds,single_presentations_per_distractor,no_adjacent_episode_overlap
P_20260914_172329,S_20260914_172323,2026-09-14T15:29:55.5449525Z,1,MAGICACADEMY,DP,ON,42,0,D3,Squid,0.1666667,93507,,700,,122,,1,D3,292107531,-2033763838,TrialLockedSOA100_700ms,63,3.5,8.5,0.5,3,true
P_20260914_172329,S_20260914_172323,2026-09-14T15:29:56.3016129Z,1,MAGICACADEMY,DP,OFF,42,0,D3,Squid,0.1666667,93507,94207,700,700,122,822,1,D3,292107531,-2033763838,TrialLockedSOA100_700ms,63,3.5,8.5,0.5,3,true
P_20260914_172329,S_20260914_172323,2026-09-14T15:29:56.5939668Z,1,MAGICACADEMY,DP,ON,43,1,D2,Turtle,0.1666667,94560,,700,,1175,,1,D2,292107531,-2033763838,TrialLockedSOA100_700ms,63,3.5,8.5,0.5,3,true
P_20260914_172329,S_20260914_172323,2026-09-14T15:29:57.3675753Z,1,MAGICACADEMY,DP,OFF,43,1,D2,Turtle,0.1666667,94560,95260,700,700,1175,1875,1,D2,292107531,-2033763838,TrialLockedSOA100_700ms,63,3.5,8.5,0.5,3,true
P_20260914_172329,S_20260914_172323,2026-09-14T15:29:58.3605985Z,1,MAGICACADEMY,DP,ON,44,2,D4,Pirate,0.1666667,96327,,700,,2942,,1,D4,292107531,-2033763838,TrialLockedSOA100_700ms,63,3.5,8.5,0.5,3,true
P_20260914_172329,S_20260914_172323,2026-09-14T15:29:59.0847095Z,1,MAGICACADEMY,DP,OFF,44,2,D4,Pirate,0.1666667,96327,97027,700,700,2942,3642,1,D4,292107531,-2033763838,TrialLockedSOA100_700ms,63,3.5,8.5,0.5,3,true
P_20260914_172329,S_20260914_172323,2026-09-14T15:30:00.1256540Z,1,MAGICACADEMY,DP,ON,45,3,D2,Turtle,0.1666667,98092,,700,,4707,,1,D2,292107531,-2033763838,TrialLockedSOA100_700ms,63,3.5,8.5,0.5,3,true
P_20260914_172329,S_20260914_172323,2026-09-14T15:30:00.8299977Z,1,MAGICACADEMY,DP,OFF,45,3,D2,Turtle,0.1666667,98092,98792,700,700,4707,5407,1,D2,292107531,-2033763838,TrialLockedSOA100_700ms,63,3.5,8.5,0.5,3,true
P_20260914_172329,S_20260914_172323,2026-09-14T15:30:01.3126131Z,1,MAGICACADEMY,DP,ON,46,4,D3,Squid,0.1666667,99280,,700,,5895,,1,D3,292107531,-2033763838,TrialLockedSOA100_700ms,63,3.5,8.5,0.5,3,true
P_20260914_172329,S_20260914_172323,2026-09-14T15:30:02.0142015Z,1,MAGICACADEMY,DP,OFF,46,4,D3,Squid,0.1666667,99280,99980,700,700,5895,6595,1,D3,292107531,-2033763838,TrialLockedSOA100_700ms,63,3.5,8.5,0.5,3,true
