participant_id,session_id,client_utc,attempt,island_id,phase,event_type,trial_index,phase_trial_index,distractor_id,distractor_name,weight_target,onset_ms,offset_ms,planned_duration_ms,actual_duration_ms,dp_elapsed_onset_ms,dp_elapsed_offset_ms,active_count_at_onset,active_set_at_onset,distractor_base_seed,distractor_combined_seed,distractor_mode,dp_budget_seconds,min_on_seconds,max_on_seconds,on_step_seconds,single_presentations_per_distractor,no_adjacent_episode_overlap
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:08.7831160Z,2,MAGICACADEMY,DP,ON,15,0,D3,SheepCloud,0.1666667,51149,,700,,134,,1,D3,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:09.5307468Z,2,MAGICACADEMY,DP,OFF,15,0,D3,SheepCloud,0.1666667,51149,51849,700,700,134,834,1,D3,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:10.5360992Z,2,MAGICACADEMY,DP,ON,16,1,D2,BarnOwl,0.1666667,52904,,700,,1889,,1,D2,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:11.2819991Z,2,MAGICACADEMY,DP,OFF,16,1,D2,BarnOwl,0.1666667,52904,53604,700,700,1889,2589,1,D2,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:12.4377710Z,2,MAGICACADEMY,DP,ON,17,2,D1,FlyGame,0.1666667,54807,,700,,3792,,1,D1,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:13.1758188Z,2,MAGICACADEMY,DP,OFF,17,2,D1,FlyGame,0.1666667,54807,55507,700,700,3792,4492,1,D1,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:14.4164013Z,2,MAGICACADEMY,DP,ON,18,3,D6,LilBird,0.1666667,56785,,700,,5770,,1,D6,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:15.2425783Z,2,MAGICACADEMY,DP,OFF,18,3,D6,LilBird,0.1666667,56785,57485,700,700,5770,6470,1,D6,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:15.6319088Z,2,MAGICACADEMY,DP,ON,19,4,D4,ThePenguin,0.1666667,58001,,700,,6986,,1,D4,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:16.3518597Z,2,MAGICACADEMY,DP,OFF,19,4,D4,ThePenguin,0.1666667,58001,58701,700,700,6986,7686,1,D4,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:17.1359595Z,2,MAGICACADEMY,DP,ON,20,5,D5,Kitty,0.1666667,59505,,700,,8490,,1,D5,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:17.8660764Z,2,MAGICACADEMY,DP,OFF,20,5,D5,Kitty,0.1666667,59505,60205,700,700,8490,9190,1,D5,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:18.6469218Z,2,MAGICACADEMY,DP,ON,21,6,D1,FlyGame,0.1666667,61015,,700,,10000,,1,D1,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:19.3501909Z,2,MAGICACADEMY,DP,OFF,21,6,D1,FlyGame,0.1666667,61015,61715,700,700,10000,10700,1,D1,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:20.1235651Z,2,MAGICACADEMY,DP,ON,22,7,D5,Kitty,0.1666667,62493,,700,,11478,,1,D5,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:20.8408416Z,2,MAGICACADEMY,DP,OFF,22,7,D5,Kitty,0.1666667,62493,63193,700,700,11478,12178,1,D5,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:21.9213530Z,2,MAGICACADEMY,DP,ON,23,8,D2,BarnOwl,0.1666667,64290,,700,,13275,,1,D2,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:22.6279490Z,2,MAGICACADEMY,DP,OFF,23,8,D2,BarnOwl,0.1666667,64290,64990,700,700,13275,13975,1,D2,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:22.9548685Z,2,MAGICACADEMY,DP,ON,24,9,D3,SheepCloud,0.1666667,65324,,700,,14309,,1,D3,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:23.6626750Z,2,MAGICACADEMY,DP,OFF,24,9,D3,SheepCloud,0.1666667,65324,66024,700,700,14309,15009,1,D3,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:24.1459841Z,2,MAGICACADEMY,DP,ON,25,10,D4,ThePenguin,0.1666667,66515,,700,,15500,,1,D4,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:24.8502460Z,2,MAGICACADEMY,DP,OFF,25,10,D4,ThePenguin,0.1666667,66515,67215,700,700,15500,16200,1,D4,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:25.8108216Z,2,MAGICACADEMY,DP,ON,26,11,D6,LilBird,0.1666667,68180,,700,,17165,,1,D6,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:26.5138277Z,2,MAGICACADEMY,DP,OFF,26,11,D6,LilBird,0.1666667,68180,68880,700,700,17165,17865,1,D6,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:27.5230183Z,2,MAGICACADEMY,DP,ON,27,12,D3,SheepCloud,0.1666667,69892,,700,,18877,,1,D3,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:19:28.2959606Z,2,MAGICACADEMY,DP,OFF,27,12,D3,SheepCloud,0.1666667,69892,70592,700,700,18877,19577,1,D3,-337588301,-1581069654,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:21:23.5830588Z,3,MAGICACADEMY,DP,ON,15,0,D3,SheepCloud,0.1666667,49413,,700,,106,,1,D3,-613955196,-881683397,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:21:24.3156030Z,3,MAGICACADEMY,DP,OFF,15,0,D3,SheepCloud,0.1666667,49413,50113,700,700,106,806,1,D3,-613955196,-881683397,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:21:25.4940447Z,3,MAGICACADEMY,DP,ON,16,1,D1,FlyGame,0.1666667,51325,,700,,2018,,1,D1,-613955196,-881683397,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:21:26.2319225Z,3,MAGICACADEMY,DP,OFF,16,1,D1,FlyGame,0.1666667,51325,52025,700,700,2018,2718,1,D1,-613955196,-881683397,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:21:27.4605474Z,3,MAGICACADEMY,DP,ON,17,2,D5,Kitty,0.1666667,53291,,700,,3984,,1,D5,-613955196,-881683397,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:21:28.1977146Z,3,MAGICACADEMY,DP,OFF,17,2,D5,Kitty,0.1666667,53291,53991,700,700,3984,4684,1,D5,-613955196,-881683397,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:21:29.1223036Z,3,MAGICACADEMY,DP,ON,18,3,D2,BarnOwl,0.1666667,54953,,700,,5646,,1,D2,-613955196,-881683397,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:21:29.8841837Z,3,MAGICACADEMY,DP,OFF,18,3,D2,BarnOwl,0.1666667,54953,55653,700,700,5646,6346,1,D2,-613955196,-881683397,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:21:30.9322270Z,3,MAGICACADEMY,DP,ON,19,4,D6,LilBird,0.1666667,56763,,700,,7456,,1,D6,-613955196,-881683397,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:21:31.7515603Z,3,MAGICACADEMY,DP,OFF,19,4,D6,LilBird,0.1666667,56763,57463,700,700,7456,8156,1,D6,-613955196,-881683397,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:21:32.2078011Z,3,MAGICACADEMY,DP,ON,20,5,D4,ThePenguin,0.1666667,58038,,700,,8731,,1,D4,-613955196,-881683397,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:21:32.9207338Z,3,MAGICACADEMY,DP,OFF,20,5,D4,ThePenguin,0.1666667,58038,58738,700,700,8731,9431,1,D4,-613955196,-881683397,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
P_20260921_224041,S_20260921_224033,2026-09-21T21:21:33.9930853Z,3,MAGICACADEMY,DP,ON,21,6,D1,FlyGame,0.1666667,59824,,700,,10517,,1,D1,-613955196,-881683397,TrialLockedSOA100_700ms,23,3.5,8.5,0.5,3,true
